zid,xvoucher,xdate,xyear,xper,xcode,xastname,xastcatg,xastbook,xasttype,xastunit,xastbr,xastloc,xdiv,xsec,xproj,xdepmeth,xpurdate,xcur,xexch,xprime,xbase,xsup,xinvno,xnomlife,xestlife,xslvval,xretdate,xdepfactor,xprvunit,xprvbr,xprvloc,xprvdiv,xprvsec,xprvproj,xleasestat,xmortgstat,xassetstat,xpornum,xdateto,xcus,xmodel,xcondition,xmaxload,xunitalt,xmfgyear,xorigin,xmanufacturer,xarea,xthana,xmouza,xareagovt,xareaphys,xaruntgovt,xaruntphys,xdistrict,xdept,xsubdept,xglref,xlong,xdateord,xname,xalias,xrate,xratesys,xmarginsys,xinstalno,xappamt,xacccat,xtrnfa,xempnum,xdatework,xdocnum,xdocrow,xaction,xtag
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0061,,,,,,,,,,1-12136,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0062,,,,,,,,,,1-12137,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0063,,,,,,,,,,1-12138,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0064,,,,,,,,,,1-12139,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0065,,,,,,,,,,1-12140,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0066,,,,,,,,,,1-12141,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0067,,,,,,,,,,1-12142,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0068,,,,,,,,,,1-12143,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0069,,,,,,,,,,1-12144,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0070,,,,,,,,,,1-12145,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0071,,,,,,,,,,1-12146,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0072,,,,,,,,,,1-12147,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0073,,,,,,,,,,1-12148,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Breeding Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0074,,,,,,,,,,1-12149,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim: L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Gnotobiotic Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0078,,,,,,,,,,1-12153,,,,,,,
,,31/8/2013,,,,2 shelves SS304 s/steel utility cart (dim: L1000mmxW650mmxH850mm),CAT34,,TYP01,,,Gnotobiotic Room,InVivos,,,SL - Straight Line,1/3/2013,SGD,1,1100,1100,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0079,,,,,,,,,,1-12154,,,,,,,
,,31/8/2013,,,,2 tier SS304 s/steel support stand for fridge c/w adjustable base ,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,4/1/2013,SGD,1,1217.78,1217.78,,,72,64,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0027,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 steps ladders for documentation room,CAT19,,TYP01,,,,InVivos,,,SL - Straight Line,29/1/2013,SGD,1,100.83,100.83,,,96,88,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,,,5101-0246,,,,,,,,,,1-15101,,,,,,,
,,31/8/2013,,,,3 steps ladders for documentation room,CAT19,,TYP01,,,,InVivos,,,SL - Straight Line,29/1/2013,SGD,1,100.83,100.83,,,96,88,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,,,5101-0247,,,,,,,,,,1-15101,,,,,,,
,,31/8/2013,,,,3 steps ladders for documentation room,CAT19,,TYP01,,,,InVivos,,,SL - Straight Line,29/1/2013,SGD,1,100.83,100.83,,,96,88,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,,,5101-0248,,,,,,,,,,1-15101,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0085,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0086,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0087,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0088,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0089,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0090,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0091,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0092,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0093,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0094,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0095,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,3 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1523.75,1523.75,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0096,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,34 Licenses for OfficeProPlus 2010 SNGL MVL ,CAT13,,TYP01,,,,InVivos,,,SL - Straight Line,1/11/2012,SGD,1,9891.96,9891.96,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,3nos/ Fabricate SS304 s/steel support base for Gnotobiotic isolator to withstand 250kg - 300kgs c/w:,CAT44,,TYP01,,,Facility,InVivos,,,SL - Straight Line,27/8/2012,SGD,1,1472.5,1472.5,,,72,62,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2111-0007,,,,,,,,,,1-12111,,,,,,,
,,31/8/2013,,,,3nos/ Fabricate SS304 s/steel support base for Gnotobiotic isolator to withstand 250kg - 300kgs c/w:,CAT44,,TYP01,,,Facility,InVivos,,,SL - Straight Line,27/8/2012,SGD,1,1472.5,1472.5,,,72,62,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2111-0008,,,,,,,,,,1-12111,,,,,,,
,,31/8/2013,,,,3nos/ Fabricate SS304 s/steel support base for Gnotobiotic isolator to withstand 250kg - 300kgs c/w:,CAT44,,TYP01,,,Facility,InVivos,,,SL - Straight Line,27/8/2012,SGD,1,1472.5,1472.5,,,72,62,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2111-0009,,,,,,,,,,1-12111,,,,,,,
,,31/8/2013,,,,4 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1883.13,1883.13,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0097,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,4 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1883.13,1883.13,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0098,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,4 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1883.13,1883.13,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0099,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,4 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1883.13,1883.13,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0100,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,4 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1883.13,1883.13,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0101,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,4 tiers metro rack,CAT34,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,1883.13,1883.13,,,72,69,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2109-0102,,,,,,,,,,1-12109,,,,,,,
,,31/8/2013,,,,"Acer Aspire V3-471G-73618G75Ma, Samsung 20"" LED monitor",CAT13,,TYP01,,,FMS,InVivos,,,SL - Straight Line,8/11/2012,SGD,1,928.09,928.09,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,FMS,,3101-0029,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,"Acer Aspire V3-471G-73618G75Ma, Samsung 20"" LED monitor",CAT13,,TYP01,,,Rane Joseph Saril,InVivos,,,SL - Straight Line,8/11/2012,SGD,1,928.09,928.09,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,FMS,,3101-0030,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,"Acer Aspire V3-471G-73618G75Ma, Samsung 20"" LED monitor",CAT13,,TYP01,,,Ivy ONG,InVivos,,,SL - Straight Line,8/11/2012,SGD,1,928.09,928.09,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,HR,,3101-0031,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,"Acer Aspire V3-471G-73618G75Ma, Samsung 20"" LED monitor",CAT13,,TYP01,,,Apple Poh,InVivos,,,SL - Straight Line,8/11/2012,SGD,1,928.08,928.08,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,MO,,3101-0032,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,"Acer Aspire V3-471G-73618G75Ma, Samsung 20"" LED monitor",CAT13,,TYP01,,,Nijaguna Bethur,InVivos,,,SL - Straight Line,8/11/2012,SGD,1,928.08,928.08,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,VET,,3101-0033,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,Rini ,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,FIN,,3101-0015,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,Foo Piew Ping,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Warehouse,,3101-0016,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,Security,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Security,,3101-0017,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,Jason Yap,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,FMS,,3101-0018,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,FMS,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,FMS,,3101-0019,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,FMS,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,FMS,,3101-0020,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,Teh Peng Guan,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,CPA,,3101-0021,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,BR6 Staff,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,PROD,,3101-0022,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,BR4 Staff,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,PROD,,3101-0023,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,BR3 Staff,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,PROD,,3101-0024,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,BR1 Staff,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,PROD,,3101-0025,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,BR2 Staff,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,PROD,,3101-0026,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,BR5 Staff,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.29,809.29,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,PROD,,3101-0027,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Acer PC Veriton M2610 (i37M45),CAT13,,TYP01,,,QC Lab,InVivos,,,SL - Straight Line,2/11/2012,SGD,1,809.3,809.3,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,QC,,3101-0028,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,ACP Building cost as at 30.11.12,CAT07,,TYP01,,,Facility,InVivos,,,SL - Straight Line,30/11/2012,SGD,1,16313729.81,16313729.81,,,211,201,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,,,,,,,,,,,1-11205,,,,,,,
,,31/8/2013,,,,Acronis backup & recovery 11.5 server for windows bundle with universal restore incl. AAP ESD -Software,CAT13,,TYP01,,,,InVivos,,,SL - Straight Line,5/11/2012,SGD,1,917.22,917.22,,,36,26,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-13101,,,,,,,
,,31/8/2013,,,,Advancelab acid cabinet 15 gallons,CAT42,,TYP01,,,Facility,InVivos,,,SL - Straight Line,22/3/2013,SGD,1,870.83,870.83,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2117-0001,,,,,,,,,,1-12117,,,,,,,
,,31/8/2013,,,,Advancelab acid flammable cabinet 45 gallons for eng workshop storage use,CAT35,,TYP01,,,FMS,InVivos,,,SL - Straight Line,8/5/2013,SGD,1,1166.67,1166.67,,,60,56,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,FMS,,4103-0034,,,,,,,,,,1-14103,,,,,,,
,,31/8/2013,,,,Advancelab flammable cabinet 4 gallons,CAT42,,TYP01,,,Facility,InVivos,,,SL - Straight Line,22/3/2013,SGD,1,623.33,623.33,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2117-0003,,,,,,,,,,1-12117,,,,,,,
,,31/8/2013,,,,Advancelab flammable cabinet 45 gallons,CAT42,,TYP01,,,Facility,InVivos,,,SL - Straight Line,22/3/2013,SGD,1,1145.83,1145.83,,,72,66,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2117-0002,,,,,,,,,,1-12117,,,,,,,
,,31/8/2013,,,,"Advante - H2O water filtration system cum with hot, cool & cold water dispenser",CAT16,,TYP01,,,Facility,InVivos,,,SL - Straight Line,6/11/2012,SGD,1,320.3,320.3,,,72,62,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,2115-0020,,,,,,,,,,1-12115,,,,,,,
,,31/8/2013,,,,Archi-Theme - Architectural RI service for proposed addition of 1 no of gate at 2nd storey of existing part 1st storey/part 2nd storey single user animal breeding facility at 9 Perahu Road on lot 1768L MK 12,CAT28,,TYP01,,,Facility,InVivos,,,SL - Straight Line,5/6/2013,SGD,1,197.06,197.06,,,204,201,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,,,,,,,,,,,1-11207,,,,,,,
,,31/8/2013,,,,Archi-Theme - Provision of RI (Architectural) services 2nd storey change to proposed erection of 1 block part 1-storey,CAT28,,TYP01,,,Facility,InVivos,,,SL - Straight Line,27/3/2013,SGD,1,194.2,194.2,,,207,201,,,,,,,,,,,,In Use,,,,,,,,,,,,,,,,,,,Facility,,,,,,,,,,,,1-11207,,,,,,,
